prediction,state,action,reward,next_prediction,next_state
0.17847975598930088,1,INCREASE_HIGH_THRESHOLD,-1,0.20656211537846325,2
0.22344612325789592,2,DECREASE_TOP_K,1,0.19554858595884977,1
0.2076312051900798,2,INCREASE_TOP_K,-1,0.2435661144551131,2
0.24967239125402046,2,INCREASE_TOP_K,-1,0.28004221287175385,2
0.2490549243921032,2,INCREASE_MODERATE_THRESHOLD,-1,0.2687377757145719,2
0.310004427445467,3,DECREASE_TOP_K,1,0.28364392767316216,2
0.31135749201038115,3,DECREASE_HIGH_THRESHOLD,1,0.2622844448631994,2
0.31534818650301855,3,INCREASE_HIGH_THRESHOLD,-1,0.3636679914651899,3
0.37975058764410274,3,DECREASE_TOP_K,1,0.35944046455546985,3
0.41066292808213517,4,INCREASE_TOP_K,-1,0.4272088555370712,4
0.41858627020385664,4,INCREASE_HIGH_THRESHOLD,-1,0.46501060641952985,4
0.4437647063471038,4,NOP,0,0.4437647063471038,4
0.44769471131449323,4,DECREASE_HIGH_THRESHOLD,1,0.41967257342532355,4
0.4908439002112611,4,INCREASE_HIGH_THRESHOLD,-1,0.539720767355302,5
0.4877887131381942,4,DECREASE_MODERATE_THRESHOLD,1,0.43990239647382384,4
0.5435015332487917,5,DECREASE_HIGH_THRESHOLD,1,0.4956739204931629,4
0.5271789016333065,5,DECREASE_MODERATE_THRESHOLD,1,0.5012778716541573,5
0.576150463296009,5,DECREASE_MODERATE_THRESHOLD,1,0.5615982731444016,5
0.6117510417464026,6,DECREASE_TOP_K,1,0.5648631202770394,5
0.6214100933171958,6,NOP,0,0.6214100933171958,6
0.6244837240717468,6,INCREASE_HIGH_THRESHOLD,-1,0.668735632796413,6
0.6374963409663718,6,NOP,0,0.6374963409663718,6
0.6828579674340192,6,DECREASE_TOP_K,1,0.6645582414224653,6
0.7234526809810744,7,INCREASE_HIGH_THRESHOLD,-1,0.7520157977892976,7
0.7506741258563913,7,DECREASE_TOP_K,1,0.7195925742880317,7
0.7313750786988025,7,DECREASE_HIGH_THRESHOLD,1,0.7047973514405687,7
0.8057681868520787,8,NOP,0,0.8057681868520787,8
0.8029403205777315,8,INCREASE_MODERATE_THRESHOLD,-1,0.8477708749663445,8
0.8096328220738639,8,DECREASE_TOP_K,1,0.7953303639000496,7
0.8671059624099329,8,DECREASE_TOP_K,1,0.8261471842601608,8
0.8736257846339417,8,INCREASE_MODERATE_THRESHOLD,-1,0.8860449424713888,8
0.8890920157301111,8,INCREASE_HIGH_THRESHOLD,-1,0.9103046132089021,9
0.9284137078096494,9,NOP,0,0.9284137078096494,9
0.940136463167326,9,INCREASE_MODERATE_THRESHOLD,-1,0.9641426003467232,9
0.9531278667845454,9,INCREASE_HIGH_THRESHOLD,-1,0.9824643345678621,9
0.9594462412371565,9,NOP,0,0.9594462412371565,9
