prediction,state,action,reward,next_prediction,next_state
0.903158863225216,9,NOP,0,0.903158863225216,9
0.8928132879185614,8,INCREASE_HIGH_THRESHOLD,-1,0.9114649105047017,9
0.867188854736852,8,DECREASE_MODERATE_THRESHOLD,1,0.8188324539656273,8
0.8640452037636788,8,DECREASE_TOP_K,1,0.8316007138228412,8
0.8626862230086995,8,DECREASE_TOP_K,1,0.8148325959236137,8
0.8893675007310852,8,DECREASE_TOP_K,1,0.8635622721249447,8
0.8609012758842716,8,DECREASE_MODERATE_THRESHOLD,1,0.8421148958030893,8
0.8031075075006431,8,INCREASE_MODERATE_THRESHOLD,-1,0.82880554221808,8
0.8194740027656083,8,INCREASE_TOP_K,-1,0.8401444748486435,8
0.8059344381162192,8,INCREASE_TOP_K,-1,0.8528100128598433,8
0.7952051257452794,7,DECREASE_TOP_K,1,0.7530451770335739,7
0.7930369518595566,7,DECREASE_MODERATE_THRESHOLD,1,0.7489579153533608,7
0.7266884268310261,7,INCREASE_MODERATE_THRESHOLD,-1,0.749158722278831,7
0.7737703522802605,7,INCREASE_TOP_K,-1,0.8084177832417454,8
0.7782390258824986,7,INCREASE_HIGH_THRESHOLD,-1,0.8123695267435878,8
0.7556044431010885,7,DECREASE_TOP_K,1,0.7076896986568566,7
0.7313526765840375,7,NOP,0,0.7313526765840375,7
0.7190930536615722,7,DECREASE_TOP_K,1,0.7010910502037142,7
0.6961631170506462,6,INCREASE_MODERATE_THRESHOLD,-1,0.7086807957840361,7
0.6976111356755346,6,DECREASE_TOP_K,1,0.6610387139845995,6
0.7197509180052171,7,INCREASE_HIGH_THRESHOLD,-1,0.7463515616567628,7
0.7119135896173885,7,DECREASE_MODERATE_THRESHOLD,1,0.6976907914038482,6
0.6759381371839349,6,NOP,0,0.6759381371839349,6
0.6849348848290853,6,DECREASE_HIGH_THRESHOLD,1,0.6654705521990913,6
0.64394228100074,6,DECREASE_TOP_K,1,0.6207572376852769,6
0.6526902153976372,6,DECREASE_HIGH_THRESHOLD,1,0.6241804488847124,6
0.6377920628094541,6,DECREASE_MODERATE_THRESHOLD,1,0.6256934228975298,6
0.6267105475118705,6,DECREASE_HIGH_THRESHOLD,1,0.5871020346017718,5
0.635303805341903,6,INCREASE_HIGH_THRESHOLD,-1,0.6669384431467296,6
0.612299617791456,6,DECREASE_TOP_K,1,0.5807661640701279,5
0.6085106645284549,6,INCREASE_HIGH_THRESHOLD,-1,0.6528770583053289,6
