prediction,state,action,reward,next_prediction,next_state
0.17765805178265393,1,NOP,0,0.17765805178265393,1
0.14894330220501736,1,INCREASE_TOP_K,-1,0.16074251541003443,1
0.15811342704891948,1,DECREASE_HIGH_THRESHOLD,1,0.1369877093672688,1
0.2127155598144387,2,INCREASE_HIGH_THRESHOLD,-1,0.22459538864574688,2
0.25485020354678306,2,INCREASE_MODERATE_THRESHOLD,-1,0.29494514778053005,2
0.24132248620294877,2,DECREASE_HIGH_THRESHOLD,1,0.1958782876136579,1
0.28434817295701087,2,INCREASE_MODERATE_THRESHOLD,-1,0.33241780356856554,3
0.32466108102394864,3,DECREASE_HIGH_THRESHOLD,1,0.2862271559612556,2
0.34514448848710755,3,INCREASE_MODERATE_THRESHOLD,-1,0.38260404001234977,3
0.3846821039852961,3,INCREASE_HIGH_THRESHOLD,-1,0.40852651955701896,4
0.4008592541124879,4,INCREASE_MODERATE_THRESHOLD,-1,0.43725579129248043,4
0.44165157810637856,4,INCREASE_TOP_K,-1,0.46174081262152766,4
0.45964526327358796,4,INCREASE_HIGH_THRESHOLD,-1,0.502618034300042,5
0.4893546782954296,4,NOP,0,0.4893546782954296,4
0.5005128069073762,5,DECREASE_TOP_K,1,0.4826241465988379,4
0.5386726236048409,5,NOP,0,0.5386726236048409,5
0.5429132911337907,5,NOP,0,0.5429132911337907,5
0.5907923851500063,5,DECREASE_MODERATE_THRESHOLD,1,0.5656360480948692,5
0.5930797529019304,5,INCREASE_MODERATE_THRESHOLD,-1,0.6064306366793826,6
0.6576876442637829,6,DECREASE_HIGH_THRESHOLD,1,0.6375803653005315,6
0.7087295626144835,7,INCREASE_TOP_K,-1,0.7538441892980752,7
0.66982547456252,6,INCREASE_MODERATE_THRESHOLD,-1,0.6954752093839299,6
0.7321005180347069,7,INCREASE_MODERATE_THRESHOLD,-1,0.7627496297138993,7
0.7402818926321352,7,INCREASE_HIGH_THRESHOLD,-1,0.7861495997644412,7
0.7421900131063892,7,NOP,0,0.7421900131063892,7
0.7842815303167402,7,DECREASE_TOP_K,1,0.7527081387391742,7
